"","state","sex","age","educ","race","pid7","ideo5","religion","votechoice","hispanic","know_governor","conceal","prochoice","cleanair","wall","mandmin","aca","minwage","newsint"
"46309","Kentucky","Female",52,"High school graduate","White","Not very strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Democrat","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Some of the time"
"46310","Florida","Female",47,"High school graduate","White","Strong Republican","Moderate","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Support","Support","Support","Support","Support","Support","Favor","Some of the time"
"46311","Texas","Female",22,"High school graduate","Hispanic","Not very strong Democrat","Moderate","Roman Catholic",NA,NA,"Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Only now and then"
"46312","Florida","Female",68,"High school graduate","Hispanic","Strong Democrat","Liberal","Protestant","Joe Biden (Democrat)",NA,"Republican","Oppose","Support","Support","Oppose","Oppose","Oppose","Favor","Most of the time"
"46313","New York","Male",57,"High school graduate","Black","Not very strong Democrat","Moderate","Nothing in particular",NA,"No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46314","New York","Female",79,"High school graduate","White","Lean Republican","Conservative","Roman Catholic",NA,"No","Democrat","Support","Oppose","Oppose","Support","Oppose","Support","Favor","Some of the time"
"46315","Ohio","Male",34,"4-year","White","Strong Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Oppose","Oppose","Support","Oppose","Some of the time"
"46316","New York","Female",45,"High school graduate","White","Not very strong Democrat","Liberal","Atheist",NA,"No","Not sure","Oppose","Support","Support","Oppose","Support","Support","Favor","Hardly at all"
"46317","Texas","Female",20,"No HS","Black","Not sure","Not sure","Nothing in particular",NA,"No","Not sure","Oppose","Support","Oppose","Oppose","Oppose","Support","Favor","Hardly at all"
"46318","Florida","Male",21,"Some college","White","Lean Democrat","Moderate","Jewish","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"46319","Louisiana","Female",28,"4-year","White","Strong Republican","Very conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Oppose","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"46320","Connecticut","Male",43,"4-year","White","Independent","Moderate","Buddhist","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"46321","Tennessee","Female",38,"Post-grad","Hispanic","Independent","Not sure","Something else",NA,NA,"Not sure","Oppose","Oppose","Oppose","Oppose","Oppose","Support","Favor","Some of the time"
"46322","Florida","Male",28,"2-year","Hispanic","Strong Republican","Very conservative","Nothing in particular","Donald J. Trump (Republican)",NA,"Republican","Support","Oppose","Support","Oppose","Oppose","Oppose","Oppose","Some of the time"
"46323","South Dakota","Female",51,"High school graduate","White","Not very strong Democrat","Conservative","Nothing in particular","Other","No","Republican","Oppose","Support","Support","Oppose","Support","Support","Favor","Hardly at all"
"46324","Massachusetts","Female",33,"No HS","White","Strong Democrat","Very conservative","Nothing in particular",NA,"Yes","Democrat","Support","Oppose","Oppose","Support","Support","Support","Favor","Only now and then"
"46325","Maryland","Male",74,"High school graduate","White","Not very strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"46326","Georgia","Female",24,"2-year","White","Not very strong Republican","Conservative","Nothing in particular","Other","No","Republican","Oppose","Oppose","Oppose","Oppose","Oppose","Oppose","Favor","Only now and then"
"46327","Nebraska","Male",21,"Some college","White","Strong Democrat","Liberal","Protestant",NA,"No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
